eval_split,harm_count,harm_rate,mean_recall10_delta,mean_reward_delta,num_records,policy_name,recovery_count,recovery_rate,retriever,rewrite_rate
train,23,0.032857142857142856,0.06,0.013743611772608503,700,epsilon_greedy_bandit,65,0.09285714285714286,hybrid,0.9785714285714285
train,40,0.05714285714285714,0.03571428571428571,-0.03924872106715107,700,failure_type_policy,65,0.09285714285714286,hybrid,0.9414285714285714
train,12,0.017142857142857144,0.07285714285714286,0.049625271949450676,700,label_retriever_policy,63,0.09,hybrid,0.9571428571428572
train,0,0.0,0.2057142857142857,0.29651163883265125,700,oracle_best_strategy,144,0.2057142857142857,hybrid,0.3485714285714286
train,0,0.0,0.0,0.0,700,original_only,0,0.0,hybrid,0.0
train,20,0.02857142857142857,0.037142857142857144,-0.03439924313382994,700,random_policy,46,0.06571428571428571,hybrid,0.7785714285714286
train,16,0.022857142857142857,0.09,0.045478635217330164,700,recovery_ranker_policy,79,0.11285714285714285,hybrid,0.96
train,0,0.0,0.11,0.0859128633146583,700,refined_label_rule_model_policy,77,0.11,hybrid,0.9071428571428571
train,13,0.018571428571428572,0.09857142857142857,0.07198999121703213,700,retriever_tuned_bandit_policy,82,0.11714285714285715,hybrid,0.9728571428571429
train,9,0.012857142857142857,0.07714285714285714,0.06350229043942669,700,reward_ranker_policy,63,0.09,hybrid,0.79
train,0,0.0,0.2057142857142857,0.29651163883265125,700,reward_selected,144,0.2057142857142857,hybrid,0.3485714285714286
train,13,0.018571428571428572,0.09857142857142857,0.07198999121703213,700,state_recovery_bandit_policy,82,0.11714285714285715,hybrid,0.9728571428571429
train,31,0.04428571428571428,0.037142857142857144,-0.012496888309389916,700,thompson_sampling,57,0.08142857142857143,hybrid,1.0
train,23,0.032857142857142856,0.05857142857142857,0.012346256470275003,700,ucb_bandit,64,0.09142857142857143,hybrid,1.0
